"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"6414100192","20141209T000000","538000","3","2.25","2570","7242","2","0","0","3","7","2170","400","1951","1991","98125","47.721","-122.319","1690","7639"
"5631500400","20150225T000000","180000","2","1","770","10000","1","0","0","3","6","770","0","1933","0","98028","47.7379","-122.233","2720","8062"
"7237550310","20140512T000000","1225000","4","4.5","5420","101930","1","0","0","3","11","3890","1530","2001","0","98053","47.6561","-122.005","4760","101930"
"2008000270","20150115T000000","291850","3","1.5","1060","9711","1","0","0","3","7","1060","0","1963","0","98198","47.4095","-122.315","1650","9711"
"0114101516","20140528T000000","310000","3","1","1430","19901","1.5","0","0","4","7","1430","0","1927","0","98028","47.7558","-122.229","1780","12697"
"6054650070","20141007T000000","400000","3","1.75","1370","9680","1","0","0","4","7","1370","0","1977","0","98074","47.6127","-122.045","1370","10208"
"1175000570","20150312T000000","530000","5","2","1810","4850","1.5","0","0","3","7","1810","0","1900","0","98107","47.67","-122.394","1360","4850"
"9297300055","20150124T000000","650000","4","3","2950","5000","2","0","3","3","9","1980","970","1979","0","98126","47.5714","-122.375","2140","4000"
"1875500060","20140731T000000","395000","3","2","1890","14040","2","0","0","3","7","1890","0","1994","0","98019","47.7277","-121.962","1890","14018"
"6300500875","20140514T000000","385000","4","1.75","1620","4980","1","0","0","4","7","860","760","1947","0","98133","47.7025","-122.341","1400","4980"
"8091400200","20140516T000000","252700","2","1.5","1070","9643","1","0","0","3","7","1070","0","1985","0","98030","47.3533","-122.166","1220","8386"
"5101402488","20140624T000000","438000","3","1.75","1520","6380","1","0","0","3","7","790","730","1948","0","98115","47.695","-122.304","1520","6235"
"1873100390","20150302T000000","719000","4","2.5","2570","7173","2","0","0","3","8","2570","0","2005","0","98052","47.7073","-122.11","2630","6026"
"8562750320","20141110T000000","580500","3","2.5","2320","3980","2","0","0","3","8","2320","0","2003","0","98027","47.5391","-122.07","2580","3980"
"2426039314","20141201T000000","280000","2","1.5","1190","1265","3","0","0","3","7","1190","0","2005","0","98133","47.7274","-122.357","1390","1756"
"0461000390","20140624T000000","687500","4","1.75","2330","5000","1.5","0","0","4","7","1510","820","1929","0","98117","47.6823","-122.368","1460","5000"
"2768000400","20141230T000000","640000","4","2","2360","6000","2","0","0","4","8","2360","0","1904","0","98107","47.6702","-122.362","1730","4700"
"2078500320","20140620T000000","605000","4","2.5","2620","7553","2","0","0","3","8","2620","0","1996","0","98056","47.5301","-122.18","2620","11884"
"5547700270","20140715T000000","625000","4","2.5","2570","5520","2","0","0","3","9","2570","0","2000","0","98074","47.6145","-122.027","2470","5669"
"7203220400","20140707T000000","861990","5","2.75","3595","5639","2","0","0","3","9","3595","0","2014","0","98053","47.6848","-122.016","3625","5639"
"1432701230","20140729T000000","309000","3","1","1280","9656","1","0","0","4","6","920","360","1959","0","98058","47.4485","-122.175","1340","8808"
"8945200830","20150325T000000","210490","3","1","990","8528","1","0","0","3","6","990","0","1966","0","98023","47.3066","-122.371","1228","8840"
"3626039271","20150205T000000","585000","2","1.75","1980","8550","1","0","0","3","7","990","990","1981","0","98117","47.6989","-122.369","1480","6738"
"7922800400","20140827T000000","951000","5","3.25","3250","14342","2","0","4","4","8","3250","0","1968","0","98008","47.588","-122.116","2960","11044"
"8079040320","20150223T000000","430000","4","3","1850","9976","2","0","0","3","8","1850","0","1991","0","98059","47.5059","-122.149","2270","8542"
"9558200045","20140828T000000","289000","3","1.75","1260","8400","1","0","0","3","7","1260","0","1954","0","98148","47.4366","-122.335","1290","8750"
"5072410070","20141021T000000","505000","3","1.75","2519","8690","2","0","0","5","8","2519","0","1973","0","98166","47.4428","-122.344","2500","9500"
"1189001180","20140603T000000","425000","3","2.25","1660","6000","1","0","0","3","7","1110","550","1979","0","98122","47.6113","-122.297","1440","4080"
"1274500060","20140825T000000","204000","3","1","1000","12070","1","0","0","4","7","1000","0","1968","0","98042","47.3621","-122.11","1010","12635"
"1525059190","20140912T000000","1040000","5","3.25","4770","50094","1","0","0","4","11","3070","1700","1973","0","98005","47.6525","-122.16","3530","38917"
"1049000060","20150105T000000","325000","3","2","1260","5612","1","0","0","4","7","1260","0","1972","0","98034","47.7362","-122.179","1640","4745"
"8820901275","20140610T000000","571000","4","2","2750","7807","1.5","0","0","5","7","2250","500","1916","0","98125","47.7168","-122.287","1510","7807"
"3276920270","20141105T000000","832500","4","4","3430","35102","2","0","0","4","10","2390","1040","1986","0","98075","47.5822","-121.987","3240","35020"
"4036801170","20141013T000000","380000","4","1.75","1760","7300","1","0","0","3","7","880","880","1956","0","98008","47.6034","-122.125","1680","7500"
"6300000287","20140609T000000","410000","3","1","1410","5060","1","0","0","4","7","910","500","1956","0","98133","47.7073","-122.34","1130","5693"
"1531000030","20150323T000000","720000","4","2.5","3450","39683","2","0","0","3","10","3450","0","2002","0","98010","47.342","-122.025","3350","39750"
"1523059105","20150128T000000","356000","3","1.5","1680","8712","1","0","0","3","8","1680","0","1964","0","98059","47.4811","-122.149","1850","8797"
"6021501535","20140725T000000","430000","3","1.5","1580","5000","1","0","0","3","8","1290","290","1939","0","98117","47.687","-122.386","1570","4500"
"1483300570","20140908T000000","905000","4","2.5","3300","10250","1","0","0","3","7","2390","910","1946","1991","98040","47.5873","-122.249","1950","6045"
"5200100125","20141027T000000","555000","3","2","1980","3478","1.5","0","0","4","7","1440","540","1929","0","98117","47.6775","-122.372","1610","3478"
"6197800045","20140924T000000","290000","3","1","1210","33919","1","0","0","3","7","1210","0","1954","0","98058","47.4375","-122.184","1640","14910"
"0546000875","20140523T000000","460000","3","1","1670","4005","1.5","0","0","4","7","1170","500","1939","0","98117","47.6878","-122.38","1240","4005"
"1853000400","20150305T000000","680000","4","2.5","3140","28037","2","0","0","4","10","3140","0","1991","0","98077","47.7304","-122.082","2990","35001"
"3134100116","20140827T000000","470000","5","1.75","2030","12342","2","0","0","4","7","2030","0","1942","0","98052","47.6417","-122.109","2500","9433"
"9545230140","20140725T000000","597750","4","2.5","2310","9624","2","0","0","3","8","2310","0","1984","0","98027","47.5386","-122.053","1940","9636"
"4060000240","20140623T000000","205425","2","1","880","6780","1","0","0","4","6","880","0","1945","0","98178","47.5009","-122.248","1190","6780"
"7278700070","20150102T000000","660000","3","2.5","2400","6474","1","0","2","3","8","1560","840","1964","0","98177","47.7728","-122.386","2340","10856"
"6675500070","20141119T000000","391500","3","2","1450","9132","1","0","0","3","7","1450","0","1987","0","98034","47.7288","-122.226","1580","9104"
"3524049083","20141104T000000","445000","4","1.75","2100","4400","1.5","0","0","5","7","1720","380","1924","0","98118","47.5299","-122.266","1850","4400"
"3275860240","20140618T000000","770000","3","2.25","2910","10204","2","0","0","3","9","2910","0","1990","0","98052","47.6897","-122.098","2700","13992"
"4058801670","20140717T000000","445000","3","2.25","2100","8201","1","0","2","3","8","1620","480","1967","0","98178","47.5091","-122.244","2660","8712"
"7853210060","20150406T000000","430000","4","2.5","2070","4310","2","0","0","3","7","2070","0","2004","0","98065","47.5319","-121.85","1970","3748"
"3668000070","20150105T000000","212000","3","1.75","1060","7875","1","0","0","4","7","1060","0","1986","0","98092","47.2761","-122.152","1420","7680"
"8929000270","20140512T000000","453246","3","2.5","2010","2287","2","0","0","3","8","1390","620","2014","0","98029","47.5517","-121.998","1690","1662"
"6071600370","20150227T000000","500000","4","2.25","2030","8517","1","0","0","4","8","1380","650","1961","0","98006","47.5495","-122.174","2230","8824"
"1526069017","20141203T000000","921500","4","2.5","3670","315374","2","0","0","4","9","3670","0","1994","0","98077","47.7421","-122.026","2840","87991"
"0537000445","20150331T000000","282950","3","1","1250","8200","1","0","0","4","7","1250","0","1954","0","98003","47.3255","-122.304","1680","8633"
"3756500060","20150309T000000","438000","3","1.75","1780","9660","1","0","0","3","7","1780","0","1962","0","98034","47.7171","-122.193","1200","9660"
"7215720160","20150304T000000","900000","3","2.5","3400","16603","2","0","0","3","10","3400","0","2000","0","98075","47.6012","-122.023","3400","12601"
"3574800520","20140620T000000","441000","3","2.75","1910","7280","1","0","0","3","7","1160","750","1979","0","98034","47.7319","-122.224","1710","8152"
"2617300160","20140812T000000","420000","3","2","2020","38332","1","0","0","4","7","1010","1010","1975","0","98027","47.4582","-122.023","2110","36590"
"2558660270","20141208T000000","370000","3","1.75","1580","7000","1","0","0","3","7","1180","400","1976","0","98034","47.7209","-122.168","1640","7500"
